recordtime	accelerationX	accelerationY	accelerationZ
302	-0.03387451	-0.01893616	-1.00769
303	-0.03507996	-0.01756287	-1.009247
304	-0.03747559	-0.01757812	-1.009354
305	-0.03312683	-0.01847839	-1.009262
306	-0.03356934	-0.01916504	-1.008804
307	-0.03451538	-0.01959229	-1.007278
308	-0.03338623	-0.01805115	-1.006042
309	-0.03363037	-0.01693726	-1.008301
310	-0.03260803	-0.01919556	-1.008209
311	-0.03131104	-0.01870728	-1.008377
312	-0.03282166	-0.0174408	-1.008789
313	-0.03138733	-0.01751709	-1.008881
314	-0.03213501	-0.01838684	-1.007751
315	-0.03189087	-0.01879883	-1.006699
316	-0.03256226	-0.01789856	-1.007629
317	-0.03385925	-0.01652527	-1.008362
318	-0.03424072	-0.01823425	-1.006989
319	-0.03312683	-0.01940918	-1.008163
320	-0.03404236	-0.01750183	-1.006516
321	-0.03500366	-0.01806641	-1.007248
322	-0.03504944	-0.01559448	-1.007187
323	-0.03379822	-0.01847839	-1.007721
324	-0.03504944	-0.01605225	-1.007446
325	-0.03074646	-0.01731873	-1.008087
326	-0.03483582	-0.01667786	-1.006897
327	-0.03416443	-0.01727295	-1.00853
328	-0.03544617	-0.01834106	-1.008408
329	-0.03282166	-0.01812744	-1.007233
330	-0.0345459	-0.01695251	-1.006195
331	-0.03297424	-0.01945496	-1.007385
332	-0.03242493	-0.01748657	-1.008148
333	-0.03421021	-0.01861572	-1.009003
334	-0.0342865	-0.01799011	-1.008209
335	-0.0337677	-0.01986694	-1.006027
336	-0.0340271	-0.01828003	-1.006607
337	-0.03353882	-0.01881409	-1.008728
338	-0.03459167	-0.01850891	-1.006668
339	-0.03590393	-0.01661682	-1.005768
340	-0.03489685	-0.01766968	-1.007034
341	-0.03321838	-0.01731873	-1.008224
342	-0.03587341	-0.01763916	-1.008499
343	-0.03404236	-0.0206604	-1.006897
344	-0.03361511	-0.01779175	-1.004745
345	-0.03684998	-0.01771545	-1.007263
346	-0.0362854	-0.01818848	-1.00708
347	-0.03356934	-0.01768494	-1.009155
348	-0.03450012	-0.0193634	-1.012146
349	-0.03382874	-0.01745605	-1.012436
350	-0.0345459	-0.01651001	-1.010376
351	-0.03327942	-0.01861572	-1.008743
352	-0.03282166	-0.0209198	-1.01033
